geneid	a1	a2	a3	b1	b2	b3
"ENSRNA049454293"	1.00	0.00	0.00	0.00	0.00	0.00
"ENSRNA049457570"	0.00	0.99	0.00	2.37	8.52	23.94
"ENSRNA049458874"	0.00	0.00	0.00	0.00	0.00	3.00
"ENSRNA049459267"	0.00	88.00	0.00	56.00	90.00	85.00
"ENSRNA049459300"	2.00	126.75	0.00	115.69	148.61	185.12
"ENSRNA049462250"	0.00	0.00	0.00	0.00	0.00	1.00
"ENSRNA049462348"	0.00	485.96	0.00	329.78	578.82	596.67
"ENSRNA049465110"	1.00	545.70	0.00	494.00	744.71	789.00
"ENSRNA049466701"	0.00	0.00	0.00	0.00	1.00	0.00
"ENSRNA049466709"	0.00	0.00	0.00	0.00	1.00	2.00
"ENSRNA049467439"	5.00	1.00	0.00	0.00	0.00	1.00
"ENSRNA049468238"	0.00	78.42	0.00	31.97	71.76	83.69
"ENSRNA049469775"	0.00	0.00	0.00	3.00	0.00	0.00
"ENSRNA049470085"	0.00	0.00	0.00	1.01	1.01	0.00
"ENSRNA049470937"	0.00	0.00	5.00	1.00	1.00	0.00
"ENSRNA049471337"	0.00	1.00	0.00	0.64	0.26	1.87
"ENSRNA049472638"	0.00	0.00	1.00	0.00	0.00	0.00
"ENSRNA049472641"	0.00	6.00	13.00	15.00	14.00	7.00
"ENSRNA049473644"	0.00	0.00	6.00	0.00	0.00	2.00
"ENSRNA049473651"	0.00	0.00	0.00	1.00	2.00	0.00
"ENSRNA049474917"	1.00	0.00	0.00	1.00	0.00	1.00
"ENSRNA049475579"	0.00	0.00	1.00	0.00	0.00	0.00
"ENSRNA049475591"	1.50	0.00	0.00	0.00	0.00	0.00
"ENSRNA049475596"	1.50	0.00	1.00	2.00	1.00	1.00
"ENSRNA049475622"	0.00	0.00	5.00	2.00	2.00	0.00
"ENSRNA049476041"	2.00	2.00	5.00	13.00	5.00	13.00
"ENSRNA049476045"	1.00	1.00	1.00	7.00	5.00	1.00
"ENSRNA049476438"	0.00	1.30	0.00	0.00	1.29	0.00
"ENSRNA049477092"	0.00	0.00	0.00	1.00	0.00	0.00
"ENSRNA049477405"	0.00	8.67	0.00	1.00	1.67	2.20
"ENSRNA049477408"	0.00	10.00	0.00	8.00	10.00	6.00
"ENSRNA049477741"	2.00	0.00	1.00	0.00	0.00	0.00
"ENSRNA049478109"	0.00	0.00	0.00	0.00	3.00	0.00
"ENSRNA049478113"	0.00	2.53	0.00	8.00	13.71	11.40
"ENSRNA049478119"	0.00	5.39	0.00	3.00	5.00	1.00
"ENSRNA049478122"	0.00	10.77	1.00	5.00	10.00	3.02
"ENSRNA049478126"	1.00	2.01	0.00	2.39	4.64	7.42
"ENSRNA049478131"	1.00	8.08	1.00	3.11	8.53	5.86
"ENSRNA049478136"	0.00	3.14	0.00	1.23	2.00	3.26
